latitude,longitude,brightness,confidence,frp,daynight,acq_date
-35.0217,145.6189,312.4,72,14.9,D,2019-08-06
-34.0056,151.0152,306.6,54,7.4,D,2019-08-17
-32.923,116.4546,308.3,66,22.5,D,2019-09-16
-28.1257,153.1197,303.4,55,7.9,N,2019-09-08
-33.7588,122.5858,313.1,73,49.1,D,2019-08-22
-31.6746,152.1082,317.9,75,15.0,D,2019-09-03
-32.9423,151.5534,304.5,33,9.7,D,2019-08-21
-30.1242,152.131,305.5,44,19.2,N,2019-09-09
-25.9448,150.8628,327.9,78,53.8,D,2019-09-06
-29.0247,152.3612,346.5,100,53.9,N,2019-09-06
-29.806,152.0299,315.5,91,19.6,N,2019-09-13
-28.6208,151.926,321.6,49,19.3,N,2019-09-06
-29.1552,152.3432,359.9,99,120.3,D,2019-09-23
-14.0646,129.7438,300.0,4,5.4,N,2019-08-11
-22.5169,150.2752,347.0,93,48.8,D,2019-09-09
-21.9102,134.5848,350.4,93,87.3,D,2019-09-20
-28.9405,152.2654,312.9,38,33.7,D,2019-09-12
-22.7819,150.577,317.6,71,30.6,D,2019-08-21
-30.1625,152.5919,323.8,16,17.0,D,2019-09-16
-28.627,152.5264,407.7,100,362.3,D,2019-08-09
-31.6846,152.0376,303.6,56,9.3,N,2019-08-20
-30.0633,152.1935,314.2,66,14.1,N,2019-09-15
-16.3653,123.9191,334.8,0,85.9,D,2019-09-28
-29.9168,152.1642,329.0,82,69.0,D,2019-09-22
-32.8153,149.3581,303.4,38,4.5,D,2019-08-06
-30.7986,152.0663,305.4,64,41.1,N,2019-09-08
-19.4543,133.8578,325.3,58,17.3,D,2019-09-03
-22.4732,150.707,339.2,63,39.2,D,2019-09-27
-26.4542,152.6719,323.9,78,17.6,D,2019-08-17
-27.5654,149.1124,315.8,31,7.1,D,2019-08-13
-30.1277,152.4302,310.6,54,11.9,D,2019-09-13
-22.6492,150.6854,355.0,97,61.2,D,2019-09-10
-33.36,122.9244,326.1,65,22.4,D,2019-09-25
-16.5046,124.0311,385.4,100,175.1,N,2019-09-22
-41.4967,147.9017,312.8,72,11.5,D,2019-09-03
-17.0561,122.8074,322.2,62,20.0,D,2019-08-11
-25.5145,150.4605,317.7,58,39.3,D,2019-09-15
-33.3392,147.8222,327.7,85,26.2,D,2019-08-23
-16.5693,124.1216,306.4,47,6.1,N,2019-08-21
-35.4595,144.1305,304.5,59,25.4,D,2019-08-24
-14.3825,126.924,315.4,91,73.7,N,2019-09-14
-27.4702,150.0582,320.7,72,65.4,D,2019-08-26
-30.1673,152.3347,341.5,91,57.6,D,2019-09-07
-14.4197,126.7295,327.4,66,19.3,D,2019-09-06
-28.4565,122.6312,350.8,94,393.5,D,2019-09-15
-16.1272,128.3316,331.3,62,52.5,D,2019-09-30
-28.4423,147.5722,319.3,66,11.7,D,2019-09-09
-26.2676,150.989,334.7,65,36.2,D,2019-09-07
-29.1033,152.3667,324.5,43,39.0,D,2019-09-08
-29.0501,152.4412,391.0,100,305.4,D,2019-09-07
-33.3993,115.9692,312.5,47,9.8,D,2019-09-26
-31.3203,146.4001,311.2,82,25.8,N,2019-09-23
-21.9191,134.5922,382.4,100,297.7,D,2019-09-20
-25.7692,148.5791,337.1,87,32.5,D,2019-09-26
-16.5336,122.866,307.0,70,21.1,N,2019-09-09
-22.6739,150.5352,336.4,82,100.6,D,2019-08-21
-34.4642,150.8855,305.6,65,11.1,N,2019-08-05
-26.3671,150.6937,324.7,68,21.8,D,2019-09-04
